date,dowAvg,dailyChange
42370,17425.03,0
42371,17425.03,0
42372,17425.03,0
42373,17148.94,-276.09
42374,17158.66,9.72
42375,16906.51,-252.15
42376,16514.1,-392.41
42377,16346.45,-167.65
42378,16346.45,0
42379,16346.45,0
42380,16398.57,52.12
42381,16516.22,117.65
42382,16151.41,-364.81
42383,16379.05,227.64
42384,15988.08,-390.97
42385,15988.08,0
42386,15988.08,0
42387,15988.08,0
42388,16016.02,27.94
42389,15766.74,-249.28
42390,15882.68,115.94
42391,16093.51,210.83
42392,16093.51,0
42393,16093.51,0
42394,15885.22,-208.29
42395,16167.23,282.01
42396,15944.46,-222.77
42397,16069.64,125.18
42398,16466.3,396.66
42399,16466.3,0
42400,16466.3,0
42401,16449.18,-17.12
42402,16153.54,-295.64
42403,16336.66,183.12
42404,16416.58,79.92
42405,16204.97,-211.61
42406,16204.97,0
42407,16204.97,0
42408,16027.05,-177.92
42409,16014.38,-12.67
42410,15914.74,-99.64
42411,15660.18,-254.56
42412,15973.84,313.66
42413,15973.84,0
42414,15973.84,0
42415,15973.84,0
42416,16196.41,222.57
42417,16453.83,257.42
42418,16413.43,-40.4
42419,16391.99,-21.44
42420,16391.99,0
42421,16391.99,0
42422,16620.66,228.67
42423,16431.78,-188.88
42424,16484.99,53.21
42425,16697.29,212.3
42426,16639.97,-57.32
42427,16639.97,0
42428,16639.97,0
42429,16516.5,-123.47
42430,16865.08,348.58
42431,16899.32,34.24
42432,16943.9,44.58
42433,17006.77,62.87
42434,17006.77,0
42435,17006.77,0
42436,17073.95,67.18
42437,16964.1,-109.85
42438,17000.36,36.26
42439,16995.13,-5.23
42440,17213.31,218.18
42441,17213.31,0
42442,17213.31,0
42443,17229.13,15.82
42444,17251.53,22.4
42445,17325.76,74.23
42446,17481.49,155.73
42447,17602.3,120.81
42448,17602.3,0
42449,17602.3,0
42450,17623.87,21.57
42451,17582.57,-41.3
42452,17502.59,-79.98
42453,17515.73,13.14
42454,17515.73,0
42455,17515.73,0
42456,17515.73,0
42457,17535.39,19.66
42458,17633.11,97.72
42459,17716.66,83.55
42460,17685.09,-31.57
42461,17792.75,107.66
42462,17792.75,0
42463,17792.75,0
42464,17737,-55.75
42465,17603.32,-133.68
42466,17716.05,112.73
42467,17541.96,-174.09
42468,17576.96,35
42469,17576.96,0
42470,17576.96,0
42471,17556.41,-20.55
42472,17721.25,164.84
42473,17908.28,187.03
42474,17926.43,18.15
42475,17897.46,-28.97
42476,17897.46,0
42477,17897.46,0
42478,18004.16,106.7
42479,18053.6,49.44
42480,18096.27,42.67
42481,17982.52,-113.75
42482,18003.75,21.23
42483,18003.75,0
42484,18003.75,0
42485,17977.24,-26.51
42486,17990.32,13.08
42487,18041.55,51.23
42488,17830.76,-210.79
42489,17773.64,-57.12
42490,17773.64,0
42491,17773.64,0
42492,17891.16,117.52
42493,17750.91,-140.25
