,Date,Time,Temp,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
0,2016-01-01,12:51 AM,43.0,36.4,27.0,53%,30.07,10.0,NW,12.7,,N/A,,Mostly Cloudy
1,2016-01-01,1:51 AM,43.0,36.0,27.0,53%,30.07,10.0,NW,13.8,,N/A,,Mostly Cloudy
2,2016-01-01,2:51 AM,42.1,36.6,27.0,55%,30.07,10.0,NW,9.2,,N/A,,Mostly Cloudy
3,2016-01-01,3:51 AM,43.0,38.2,27.0,53%,30.07,10.0,West,8.1,,N/A,,Overcast
4,2016-01-01,4:51 AM,42.1,35.2,28.0,58%,30.06,10.0,West,12.7,,N/A,,Overcast
5,2016-01-01,5:51 AM,41.0,34.3,27.0,57%,30.06,10.0,West,11.5,,N/A,,Overcast
6,2016-01-01,6:51 AM,41.0,34.3,27.0,57%,30.07,10.0,WNW,11.5,,N/A,,Mostly Cloudy
7,2016-01-01,7:51 AM,41.0,35.2,27.0,57%,30.07,10.0,West,9.2,,N/A,,Mostly Cloudy
8,2016-01-01,8:51 AM,39.9,32.9,26.1,58%,30.08,10.0,West,11.5,,N/A,,Mostly Cloudy
9,2016-01-01,9:51 AM,41.0,34.3,26.1,55%,30.08,10.0,West,11.5,,N/A,,Mostly Cloudy
10,2016-01-01,10:51 AM,41.0,33.1,25.0,53%,30.06,10.0,West,15.0,,N/A,,Mostly Cloudy
11,2016-01-01,11:51 AM,42.1,34.5,25.0,51%,30.03,10.0,West,15.0,,N/A,,Mostly Cloudy
12,2016-01-01,12:51 PM,42.1,33.9,25.0,51%,30.01,10.0,West,17.3,23.0,N/A,,Mostly Cloudy
13,2016-01-01,1:51 PM,42.1,33.6,25.0,51%,29.99,10.0,West,18.4,28.8,N/A,,Mostly Cloudy
14,2016-01-01,2:51 PM,41.0,32.2,26.1,55%,29.99,10.0,West,18.4,,N/A,,Mostly Cloudy
15,2016-01-01,3:51 PM,39.9,31.1,21.0,47%,30.00,10.0,West,17.3,26.5,N/A,,Mostly Cloudy
16,2016-01-01,4:51 PM,39.9,31.8,21.0,47%,29.99,10.0,West,15.0,,N/A,,Mostly Cloudy
17,2016-01-01,5:51 PM,39.9,31.4,21.0,47%,30.01,10.0,West,16.1,23.0,N/A,,Scattered Clouds
18,2016-01-01,6:51 PM,39.0,29.0,19.0,45%,30.02,10.0,WNW,20.7,31.1,N/A,,Scattered Clouds
19,2016-01-01,7:51 PM,39.0,29.0,18.0,43%,30.04,10.0,WNW,20.7,28.8,N/A,,Partly Cloudy
20,2016-01-01,8:51 PM,37.9,29.6,19.0,47%,30.05,10.0,West,13.8,21.9,N/A,,Clear
21,2016-01-01,9:51 PM,37.9,29.2,19.9,48%,30.05,10.0,West,15.0,23.0,N/A,,Clear
22,2016-01-01,10:51 PM,37.0,27.7,19.0,48%,30.05,10.0,West,16.1,24.2,N/A,,Partly Cloudy
23,2016-01-01,11:51 PM,36.0,25.3,18.0,48%,30.05,10.0,West,19.6,27.6,N/A,,Partly Cloudy
24,2016-01-02,12:51 AM,36.0,25.6,17.1,46%,30.05,10.0,West,18.4,,N/A,,Scattered Clouds
